t,gz_dps
5.091387,-0.007634
5.096376,-0.015267
5.101387,-0.068702
5.106376,0.015267
5.111387,0.061069
5.116376,0.007634
5.121387,-0.053435
5.126376,-0.015267
5.131387,0.038168
5.136376,-0.10687
5.141387,-0.10687
5.146376,-0.030534
5.151387,0.0
5.156376,-0.038168
5.161387,-0.022901
5.166376,-0.152672
5.171387,-0.045802
5.176376,-0.045802
5.181387,-0.099237
5.186376,-0.10687
5.191387,-0.061069
5.196376,-0.183206
5.201387,-0.137405
5.206376,-0.099237
5.211387,-0.076336
5.216376,0.007634
5.221387,-0.007634
5.226376,-0.19084
5.231387,-0.030534
5.236376,0.007634
5.241387,0.0
5.246376,-0.053435
5.251387,-0.045802
5.256376,-0.083969
5.261387,0.038168
5.266376,-0.038168
5.271387,-0.045802
5.276376,-0.053435
5.281387,-0.007634
5.286376,0.007634
5.291387,-0.083969
5.296376,-0.137405
5.301387,-0.022901
5.306376,-0.068702
5.311387,-0.122137
5.316376,-0.030534
5.321387,-0.030534
5.326376,0.022901
5.331387,-0.061069
5.336376,-0.175573
5.341387,-0.114504
5.346376,-0.099237
5.351387,-0.068702
5.356376,-0.022901
5.361387,0.022901
5.366376,0.007634
5.371387,-0.038168
5.376376,-0.022901
5.381387,0.0
5.386376,0.015267
5.391387,-0.022901
5.396376,-0.038168
5.401387,-0.122137
5.406376,-0.160305
5.411387,-0.068702
5.416376,-0.007634
5.421387,-0.030534
5.426376,-0.045802
5.431387,-0.145038
5.436376,-0.091603
5.441387,-0.068702
5.446376,-0.061069
5.451387,-0.015267
5.456376,-0.091603
5.461387,-0.145038
5.466376,-0.068702
5.471387,-0.038168
5.476376,-0.122137
5.481387,-0.198473
5.486376,-0.137405
5.491387,-0.083969
5.496376,-0.076336
5.501387,-0.083969
5.506376,-0.068702
5.511387,-0.061069
5.516376,-0.068702
5.521387,0.0
5.526376,0.015267
5.531387,-0.030534
5.536376,-0.10687
5.541387,-0.10687
5.546376,-0.114504
5.551387,-0.038168
5.556376,-0.045802
5.561387,-0.068702
5.566376,-0.053435
5.571387,-0.175573
5.576376,-0.160305
5.581387,-0.061069
5.586376,-0.068702
5.591387,-0.10687
5.596376,-0.099237
5.601387,-0.137405
5.606376,-0.19084
5.611387,-0.122137
5.616376,-0.10687
5.621387,-0.083969
5.626376,-0.015267
5.631387,-0.099237
5.636376,-0.114504
5.641387,-0.10687
5.646376,-0.175573
5.651387,-0.122137
5.656376,-0.091603
5.661387,-0.022901
5.666376,-0.122137
5.671387,0.007634
5.676376,-0.068702
5.681387,-0.030534
5.686376,-0.068702
5.691387,0.007634
5.696376,-0.068702
5.701387,-0.015267
5.706376,-0.068702
5.711387,-0.167939
5.716376,-0.167939
5.721387,-0.053435
