t_s,pressure_pa,temp_c,baro_h_m,kf_h_m,kf_v_mps,sigma_h_m
33.8,100677.75,31.37,-0.12669141370445614,-0.14642108781769708,0.011604288927678064,0.154665038829192
34.0,100677.922,31.37,-0.14110330232123713,-0.14320139558594697,0.012403391636965962,0.15466503882919239
34.2,100678.047,31.37,-0.15157704607931644,-0.14397673249974982,0.009508653221364946,0.15466503882919264
34.4,100678.227,31.37,-0.16665921859472022,-0.14944826640166076,0.0029535020475679463,0.15466503882919214
34.6,100678.195,31.37,-0.16397794507678753,-0.1533924493366987,-0.0010782054400543294,0.15466503882919247
34.8,100678.555,31.37,-0.19414223235732164,-0.16576503464594378,-0.011886254803053622,0.154665038829192
35.0,100678.313,31.37,-0.17386513774379608,-0.16985867556577658,-0.013412199733608295,0.15466503882919239
35.2,100678.5,31.37,-0.18953380522413132,-0.17763753969082435,-0.01794314131660251,0.15466503882919264
35.4,100678.5,31.37,-0.18953380522413132,-0.1837177831231393,-0.020158294997496558,0.15466503882919214
35.6,100678.313,31.37,-0.17386513774379608,-0.18358528060751786,-0.01645617525491222,0.15466503882919247
35.8,100678.5,31.37,-0.18953380522413132,-0.18767348629828215,-0.017164716633310487,0.154665038829192
36.0,100678.313,31.37,-0.17386513774379608,-0.18593544502510745,-0.01256748760985842,0.15466503882919239
36.2,100678.313,31.37,-0.17386513774379608,-0.1840749878246224,-0.008678852629592199,0.15466503882919264
36.4,100678.313,31.37,-0.17386513774379608,-0.182228044211787,-0.005493664759968567,0.15466503882919214
36.6,100678.5,31.37,-0.18953380522413132,-0.18518838050140085,-0.007148710666338595,0.15466503882919247
36.8,100678.5,31.37,-0.18953380522413132,-0.18749259015555134,-0.007926150124811442,0.154665038829192
37.0,100678.5,31.37,-0.18953380522413132,-0.18921457858902252,-0.008047734266604862,0.15466503882919239
37.2,100678.266,31.36,-0.1699270197571323,-0.18455669418346304,-0.002475716727290367,0.15466503882919264
37.4,100678.617,31.36,-0.19933718412296075,-0.1893362790748519,-0.006284770620983713,0.15466503882919214
37.6,100678.406,31.36,-0.18165757960588946,-0.18791326423626895,-0.0039021622685955874,0.15466503882919247
37.8,100678.766,31.36,-0.21182181569174618,-0.195630250401027,-0.01006905861636825,0.154665038829192
38.0,100678.531,31.36,-0.19213128258343648,-0.19599067684989013,-0.008599127576405727,0.15466503882919239
38.2,100678.469,31.36,-0.18693632722501574,-0.19447912654311897,-0.00572629467040771,0.15466503882919264
38.4,100678.234,31.35,-0.1672457470758748,-0.1871131031934149,0.0018406035065946184,0.15466503882919214
38.6,100678.156,31.35,-0.16071014204416034,-0.17893664887397043,0.008782549907900068,0.15466503882919247
38.8,100677.914,31.35,-0.140432982366836,-0.1661589821373561,0.018580835075459323,0.154665038829192
39.0,100677.703,31.34,-0.12275327788184631,-0.15053918358121612,0.02916367850661406,0.15466503882919239
39.2,100677.766,31.34,-0.1280320553456682,-0.13970548695419893,0.03360974912795703,0.15466503882919264
39.4,100677.711,31.34,-0.12342359897806299,-0.13011633359811636,0.036158817111438306,0.15466503882919214
39.6,100677.445,31.33,-0.10113539940217242,-0.11636158872495671,0.04195802982739454,0.15466503882919247
39.8,100677.898,31.33,-0.13909234232022838,-0.1173041581280413,0.033659544096900446,0.154665038829192
40.0,100677.781,31.32,-0.12928890673419513,-0.11618572351784624,0.028668922667148027,0.15466503882919239
40.201,100677.906,31.32,-0.13976266236321866,-0.11923365774588031,0.02083619614907023,0.15476130647348424
40.4,100677.641,31.31,-0.11755828792444634,-0.11582808691382435,0.02017756079572114,0.15463616453170284
40.6,100677.438,31.3,-0.10054886719043088,-0.10842125697081148,0.023174823371205272,0.15464486714287515
40.801,100677.555,31.3,-0.11035232981583709,-0.10574144604968984,0.02141601607240338,0.1547472341178024
41.0,100677.289,31.3,-0.08806410227530925,-0.09745809543601125,0.02499139081019486,0.15462636553486864
41.2,100677.328,31.29,-0.09133192809503088,-0.09212166038563328,0.02529202914546443,0.15463804093574363
41.4,100677.438,31.29,-0.10054886719043088,-0.09110685632727873,0.02169707136677755,0.15464621091279682
41.6,100677.359,31.28,-0.09392942993446729,-0.08891509112960302,0.019787710438179368,0.15465191556435964
41.8,100677.219,31.27,-0.08219877131866671,-0.08413023808054075,0.020523227724454213,0.1546558915365427
42.0,100677.102,31.27,-0.07239528219526559,-0.0777373091173203,0.022557614152266127,0.15465865915290095
42.2,100677.016,31.26,-0.06518929285406427,-0.07081563103282276,0.02470034846361061,0.15466058458941287
42.4,100676.875,31.26,-0.053374811178068526,-0.0621265044956184,0.02803342369260647,0.15466192445104093
42.6,100676.984,31.25,-0.06250799322202294,-0.05831573387270769,0.026436778087998904,0.15466285778318234
42.8,100676.688,31.25,-0.03770593891902374,-0.048432984185367185,0.030522282294880687,0.1546635090256602
43.0,100676.781,31.24,-0.045498482609407365,-0.04327924303561112,0.02967705528856541,0.15466396440228217
43.2,100676.727,31.24,-0.040973780527298054,-0.03843251053242839,0.028709173002157723,0.1546642835487834
43.4,100676.703,31.24,-0.03896280119417117,-0.03457179021323291,0.027036781085153755,0.15466450769879078
43.6,100676.578,31.23,-0.028488944229019264,-0.028961843010532774,0.02721689323283656,0.15466466539900087
43.8,100676.703,31.23,-0.03896280119417117,-0.02815049295612054,0.023098819425659972,0.15466477646752183
44.001,100677.031,31.23,-0.06644615182188396,-0.03640169832057859,0.011635565646403424,0.1547611223456102
44.2,100676.891,31.22,-0.054715462249101954,-0.040270994330504885,0.006137005265088952,0.15463603561547445
44.4,100676.828,31.22,-0.049436647636902364,-0.04215984722820411,0.003366506576021973,0.15464477694480133
44.601,100676.531,31.21,-0.024550771287561446,-0.03639943982953545,0.007886139219418102,0.154747171098027
44.8,100676.508,31.21,-0.022623579726623877,-0.031170968543399177,0.011139291858333563,0.15462632159506987
45.0,100676.359,31.2,-0.01013872142870964,-0.023305294698910257,0.016151590980452164,0.15463801029681104
45.201,100676.063,31.2,0.014663457543812042,-0.00963453772913127,0.025419182212947547,0.1547424560887749
45.4,100676.367,31.2,-0.010809049779392232,-0.0064444768725371955,0.023758116680270173,0.1546230360866196
45.6,100676.016,31.19,0.018601646800435745,0.004391537405292435,0.029167446144232993,0.15463571572682647
45.801,100675.898,31.18,0.028489022128399544,0.01572852141703917,0.034034334113005826,0.15474085062997467
46.0,100676.195,31.18,0.0036030190818292507,0.016836551753988137,0.02899803160397359,0.15462191169043557
46.2,100675.844,31.17,0.03301375634375714,0.025747381267387626,0.03176406538267034,0.1546349261854985
46.4,100675.906,31.16,0.027818691302142762,0.030816440670126413,0.030622746034577028,0.15464402904116192
46.6,100675.406,31.16,0.06971445090937833,0.046768498806968296,0.03935986320051234,0.1546503847223544
46.8,100675.563,31.15,0.05655916424856855,0.055215847090989555,0.03987139843878275,0.15465481603748793
47.0,100675.477,31.14,0.06376524277934337,0.06336259886423003,0.04002473383711627,0.1546579028860772
47.2,100675.359,31.14,0.07365266097460577,0.07205285010048904,0.04063399970697882,0.1546600526239816
47.4,100674.945,31.12,0.10834249054122336,0.08862582949512411,0.04814302186874905,0.15466155036027257
47.6,100675.008,31.12,0.10306359598225012,0.09969674558832528,0.049425299590979084,0.15466259492916767
47.8,100674.922,31.11,0.11026970668564617,0.10978811531068611,0.049608717937308894,0.15466332456603057
48.0,100674.898,31.1,0.11228071520889338,0.11748175499884814,0.047627837225350717,0.15466383515811644
48.2,100674.813,31.1,0.11940304019733672,0.12472668148895323,0.0456002488141109,0.15466419314219484
48.401,100674.695,31.09,0.1292905111917242,0.13251045183659163,0.04437171203684708,0.15476071214730366
48.6,100674.609,31.09,0.13649664003620665,0.13988823213977458,0.04308064514275614,0.15463574737093297
48.8,100674.82,31.08,0.11881649560280261,0.13960277336934415,0.03516670824377362,0.1546445742865608
49.001,100674.703,31.08,0.12862017388369562,0.14125167679816727,0.03034847886521662,0.1547470287238542
49.2,100675.0,31.08,0.10373393165137967,0.1342339971426612,0.018740116538977006,0.1546262217910286
49.4,100674.828,31.07,0.11814615896411418,0.13203496058029277,0.013452883675031271,0.154637940377799
49.601,100674.891,31.06,0.11286725943922771,0.12817268630502665,0.007615187539417788,0.15474240717896998
49.8,100674.805,31.06,0.12007337691969266,0.1268060387788625,0.005052878272511023,0.1546230019520558
50.0,100675.016,31.05,0.10239326035741514,0.12019457028185958,-0.0017235022541877577,0.15463569191024754
50.2,100675.141,31.05,0.09191927180786652,0.11147518056368891,-0.00916900802491765,0.1546445676126888
50.4,100675.258,31.04,0.08211562806689332,0.10138741735354251,-0.01650716802415747,0.15465076385548576
50.6,100675.711,31.04,0.04415801750665693,0.08191406430819652,-0.030884743793546617,0.1546550829804629
50.8,100675.648,31.04,0.049436882220934564,0.06784989435330517,-0.03789683631936554,0.1546580907385624
51.0,100675.594,31.03,0.05396162553144346,0.05837848876106972,-0.039578941767199706,0.15466018466589632
51.2,100675.742,31.03,0.04156048188522998,0.04779287648598339,-0.041952531742594876,0.15466164302020333
51.4,100675.859,31.03,0.03175688553452294,0.03710941742802582,-0.04399106620748929,0.15466265982758867
51.6,100675.797,31.03,0.036951952534941546,0.03090266964618084,-0.04168714126255129,0.15466336993054117
51.8,100676.102,31.02,0.011395599502252995,0.019215308496989728,-0.044665376433843426,0.15466386681147726
52.0,100676.281,31.02,-0.0036030178366597276,0.006117832125096894,-0.048367709015632226,0.15466421519793988
52.2,100676.43,31.02,-0.016087883959947646,-0.007314314052793326,-0.05170927082524939,0.1546644599134573
52.4,100676.43,31.02,-0.016087883959947646,-0.017185813029619967,-0.0512911047175721,0.15466463204606404
52.6,100676.781,31.02,-0.045498482609407365,-0.03285887943236356,-0.056105136622230496,0.15466475321754572
52.8,100676.781,31.02,-0.045498482609407365,-0.04450536297770715,-0.0564833856149083,0.15466483852136376
53.0,100676.781,31.02,-0.045498482609407365,-0.05271181688415093,-0.053736043429903534,0.15466489853685333
53.2,100676.781,31.02,-0.045498482609407365,-0.05807233100831068,-0.04894703882661631,0.15466494070839218
53.4,100677.172,31.02,-0.07826061867396428,-0.07098055379826394,-0.05171980036046744,0.1546649702912612
53.6,100677.172,31.02,-0.07826061867396428,-0.08040559519610657,-0.05090284189259297,0.15466499100317338
53.8,100677.641,31.03,-0.11755828792444634,-0.09867560260538324,-0.0580947032383332,0.1546650054760662
54.0,100677.641,31.03,-0.11755828792444634,-0.1124730749312866,-0.06003151216397013,0.1546650155719518
54.2,100677.469,31.03,-0.10314636673639299,-0.11808121143534411,-0.05434326582286619,0.15466502260555492
54.4,100677.469,31.03,-0.10314636673639299,-0.12121091606573714,-0.04746300574605816,0.15466502750240935
54.6,100677.234,31.03,-0.08345562822924979,-0.116532996642002,-0.03486479987632768,0.15466503091170833
