t_ms,mx_raw,my_raw,mz_raw,mx_cal,my_cal,mz_cal,inlier
21200,-315,-77,77,-397.762238,15.339680,119.192449,1
21250,-305,-86,104,-387.996897,6.312541,146.668756,1
21300,-294,-89,126,-377.127239,3.199320,168.974807,1
21350,-294,-89,126,-377.127239,3.199320,168.974807,1
21400,-283,-86,146,-366.193689,5.955770,189.172439,1
21450,-276,-87,157,-359.239830,4.897190,200.304221,1
21500,-263,-83,178,-346.288532,8.630089,221.486682,1
21550,-263,-83,178,-346.288532,8.630089,221.486682,1
21600,-249,-81,200,-332.351630,10.409622,243.700980,1
21650,-224,-87,227,-307.410588,4.414450,270.989488,1
21700,-181,-107,264,-264.487691,-15.210973,308.442009,1
21750,-181,-107,264,-264.487691,-15.210973,308.442009,1
21800,-151,-114,284,-234.432279,-22.057620,328.571729,1
21851,-132,-113,296,-215.350836,-21.092612,340.575458,1
21900,-120,-102,305,-203.238036,-10.400000,349.474638,1
21951,-120,-102,305,-203.238036,-10.400000,349.474638,1
22000,-105,-83,314,-188.036102,8.107885,358.245115,1
22050,-85,-58,324,-167.749176,32.484974,367.908670,1
22100,-48,-46,338,-130.423012,44.272589,381.630417,1
22150,-48,-46,338,-130.423012,44.272589,381.630417,1
22200,-5,-46,349,-87.092711,44.450856,392.387842,1
22250,18,-43,354,-63.885262,47.479611,397.205890,1
22300,28,-41,356,-53.788242,49.476289,399.115210,1
22350,28,-41,356,-53.788242,49.476289,399.115210,1
22400,45,-57,358,-36.750780,33.988928,401.175832,1
22450,76,-90,358,-5.673689,2.067410,401.270520,1
22500,107,-119,355,25.462759,-25.920466,398.264161,1
22550,107,-119,355,25.462759,-25.920466,398.264161,1
22600,136,-149,349,54.601572,-54.860159,392.238452,1
22650,144,-158,346,62.648106,-63.532394,389.217067,1
22700,134,-153,347,52.571991,-58.746811,390.273311,1
22750,134,-153,347,52.571991,-58.746811,390.273311,1
22800,127,-162,349,45.414431,-67.590076,392.489077,1
22850,124,-166,349,42.354483,-71.508658,392.568513,1
22900,131,-168,348,49.421725,-73.393612,391.505489,1
22950,131,-168,348,49.421725,-73.393612,391.505489,1
23000,144,-180,344,62.507697,-84.939567,387.453510,1
23050,150,-191,340,68.529187,-95.562425,383.459611,1
23100,158,-212,331,76.548503,-115.850838,374.482462,1
23150,158,-212,331,76.548503,-115.850838,374.482462,1
23200,146,-221,331,64.359786,-124.705952,374.713991,1
23250,136,-241,324,54.181713,-144.176161,367.940068,1
23300,133,-262,316,51.078178,-164.557152,360.090803,1
23351,133,-262,316,51.078178,-164.557152,360.090803,1
23401,135,-287,303,53.047011,-188.736769,347.154220,1
23450,135,-313,288,53.008153,-213.880519,332.215547,1
23500,125,-331,278,42.874842,-231.365432,322.365209,1
23550,125,-331,278,42.874842,-231.365432,322.365209,1
23600,99,-335,276,16.599164,-235.427200,320.641429,1
23650,67,-333,277,-15.724429,-233.724658,321.955870,1
23700,67,-333,277,-15.724429,-233.724658,321.955870,1
23750,47,-347,263,-35.890867,-247.336578,308.087792,1
23800,31,-360,252,-52.039163,-259.982089,297.218952,1
23850,25,-372,239,-58.057508,-271.555829,284.202707,1
23900,25,-372,239,-58.057508,-271.555829,284.202707,1
23950,29,-388,225,-53.992442,-286.940979,270.117902,1
24000,45,-415,198,-37.753851,-312.794360,242.823515,1
24050,60,-442,166,-22.475231,-338.593455,210.452884,1
