t_s,innovation_e_m,innovation_n_m,innovation_h_m,hdop,sats
301.763,-0.24920171258197854,-0.12773874801227603,0.28003335747288177,2.66,5
302.641,-0.41846747468174783,-0.7291320582077869,0.8406834039475519,2.66,5
302.756,-0.07516248752494903,0.006094216375432282,0.07540914403551273,2.66,5
303.659,-0.09664108075480726,-0.4636502612001756,0.4736148891245378,2.66,5
303.776,-0.023255279413092467,0.03370144114087825,0.040946247148585954,2.66,5
304.677,0.0015291910144412668,1.3017981942989252,1.3017990924505596,2.66,5
304.796,-0.006772076090143742,-0.07231874947209782,0.07263513295767239,2.66,5
305.7,1.551348879967648,0.2970187518598557,1.5795263487302966,2.66,5
305.82,-0.09885946611647967,-0.08807304253656056,0.1324011135243288,2.66,5
306.68,-0.2889269512745898,-0.2913050870530549,0.41028945503853387,2.66,5
306.798,-0.11975289671605083,-0.12885781124450446,0.1759121706722121,2.66,5
307.737,-0.11788806152500797,-1.2865382934535559,1.2919281619240723,2.65,5
308.702,-0.013418838789917231,0.24403753862788324,0.24440618955751794,2.65,5
308.822,0.00031167263287557034,0.08302262064260635,0.08302320566080432,2.65,5
309.731,3.0995311804342833,-0.8478216112595609,3.2133930701056634,2.65,5
309.85,-0.5402386845049563,0.17115990429483574,0.566704110690811,2.65,5
310.717,-0.786233757885114,-0.6793576814507363,1.0390815085373564,2.65,5
310.839,-0.14363934248871146,0.13834339013617436,0.19942706512647448,2.65,5
311.632,-0.166554083866302,-0.6646070068614383,0.6851589132616338,2.65,5
311.749,-0.03631714460904334,0.13100288038512442,0.1359437003386085,2.65,5
312.734,-1.5514554626919193,-0.42960593764002897,1.6098370459062512,2.65,5
312.855,0.04464309962749269,0.07658872319851939,0.08865009230412374,2.65,5
313.714,1.8508074120373266,-0.2966537950031487,1.8744309938064074,2.65,5
313.837,-0.09339212302937483,0.07123144016026028,0.11745640344927401,2.65,5
314.643,-0.24743656937289416,-0.34405812901647037,0.4237934072226009,2.65,5
314.761,-0.04012728037584168,0.06734362738918764,0.07839236429841336,2.65,5
315.764,1.4612127089440463,0.06784723624936839,1.4627870071361297,2.65,5
316.736,-0.33254704347520203,-0.024102378784140455,0.33341934674993307,2.65,5
316.86,-0.13192059777884424,-0.01865291324191809,0.13323278609538317,2.65,5
317.685,1.400893335788993,-0.0890523760153985,1.4037209352047153,2.65,5
317.807,-0.319459690356652,0.004415587188772219,0.319490205128404,2.65,5
318.676,-0.4613497431772089,-0.5052981998447341,0.6842293886526692,2.65,5
318.797,-0.08627577768304207,0.0467085419139906,0.09810809193203543,2.65,5
319.736,-0.11103596023131956,0.016550430549914785,0.1122626439020511,2.65,5
319.86,-0.04167388591376664,-0.0008142044947331839,0.04168183892431908,2.64,5
320.655,-0.019482376477995444,-0.9115477710698268,0.9117559442831177,2.64,5
320.775,-0.007650851759578359,0.17668280157577976,0.1768483754669898,2.64,5
321.708,0.014348149145163802,0.19241808564357943,0.19295229738624967,2.64,5
321.83,0.009057128469237341,0.06820257359972082,0.0688013271800305,2.64,5
322.697,3.846315485125686,0.8448968549172204,3.938018982504611,2.64,5
322.819,-0.7055708779389249,-0.1384112740433674,0.719018737292578,2.64,5
323.728,-1.1356203771710938,-0.3227454520572848,1.1805923377143688,2.64,5
323.851,-0.4490925408913853,-0.1359096054046739,0.4692073434266931,2.64,5
324.689,-0.43608187145595423,-0.2027186907243177,0.4808973551408959,2.64,5
324.847,-0.16930654987577043,-0.09055672507345913,0.19200319863707166,2.64,5
325.712,-0.1309801008246012,-0.15263270295187736,0.20112814030467924,2.64,5
325.838,-0.04594994339728942,-0.06438626097970518,0.07910112452526075,2.64,5
326.678,-0.014724419634390529,-0.126202498423598,0.12705856579517918,2.64,5
326.802,-0.0019354455687476957,-0.054321929718177564,0.054356397947768836,2.64,5
327.636,0.024743408026409952,-0.11776009951025823,0.120331530686796,2.64,5
327.756,0.013007133605327681,-0.05082044621750842,0.05245858631695588,2.64,5
328.667,0.0513956403703304,0.29961056834918076,0.30398684924778485,2.64,5
328.793,-0.007565315134925754,-0.09364125321582739,0.09394635861448511,2.64,5
329.677,1.5622653968105027,0.6341416643925437,1.686063112872713,2.64,5
329.8,-0.21161429000542853,-0.13451313431656597,0.25074766407320354,2.64,5
330.688,-0.35017787366656705,-0.33415997022884514,0.48403246679223993,2.64,5
338.875,0.3849653990275357,-15.766205029341297,15.770904203173489,1.76,5
339.725,0.06119544682977107,0.3625927760464105,0.36772055144326343,1.76,5
339.85,-0.010065670670371674,-0.002701708630404198,0.010421945862840636,1.76,6
340.695,0.04846606361763861,-0.560018501735966,0.5621118052569125,1.76,6
340.892,0.0007403642468375438,0.18371416730388468,0.18371565912403257,1.76,5
341.745,0.06717754179504709,0.30086634737999773,0.3082748466991862,1.76,5
342.666,0.11682551732955915,-0.2892305046363628,0.3119334645585885,1.76,5
342.793,-0.005995448991157559,0.1560856355891609,0.1562007395817251,1.76,5
343.697,0.0656495397788035,0.13605344959687926,0.15106423541122918,1.76,5
343.825,0.031663083471244136,0.04307855515309633,0.05346319078567361,1.76,6
344.684,0.08820408613158293,-0.027453879033028983,0.09237789932807461,1.76,6
344.811,0.03803465840682918,-0.018066537798192783,0.042107422482713305,1.76,6
