# sensor,HMC5883L
# purpose,magnetometer ellipsoid calibration
# sample_hz,20
# duration_s,180
# sda_gpio,21
# scl_gpio,22
# wifi,off
# note,move the board slowly through all 3D orientations
t_ms,mx_raw,my_raw,mz_raw
59400,394,128,165
59450,394,128,165
59500,366,123,211
59550,347,116,236
59600,336,96,255
59650,336,96,255
59700,344,70,264
59750,334,51,280
59800,325,47,287
59850,325,47,287
59900,318,41,297
59950,309,31,304
60000,306,31,306
60050,306,31,306
60100,317,41,296
60150,326,53,286
60200,319,51,294
60250,319,51,294
60300,301,46,305
60350,295,49,308
60400,301,61,302
60450,301,61,302
60500,304,64,296
60550,320,72,284
60600,325,67,282
60650,325,67,282
60700,328,63,280
60750,319,54,290
60800,322,56,288
60850,322,56,288
60900,321,58,288
60950,320,50,291
61000,310,26,301
61050,310,26,301
61100,314,8,301
61150,335,-14,291
61200,381,-50,254
61250,381,-50,254
61300,405,-77,226
61350,414,-110,210
61400,461,-157,114
61450,461,-157,114
61500,480,-199,-14
61550,473,-202,-125
61600,435,-146,-252
61650,435,-146,-252
61700,368,-27,-338
61750,295,84,-362
61800,234,156,-360
61851,234,156,-360
61901,165,229,-337
61950,90,297,-268
62000,34,336,-198
62050,34,336,-198
62100,-4,353,-132
62150,-35,356,-52
62200,-35,356,-52
62250,-63,341,6
62300,-89,322,39
62350,-117,305,49
62400,-117,305,49
62450,-143,287,51
62500,-163,274,28
62550,-181,266,-21
62600,-181,266,-21
62650,-188,252,-81
62700,-190,228,-155
62750,-186,198,-212
62800,-186,198,-212
62850,-166,187,-259
62900,-114,191,-318
62950,-51,190,-382
63000,-51,190,-382
63050,-47,80,-425
63100,-18,62,-400
63150,38,52,-416
63200,38,52,-416
63250,90,57,-416
63300,132,63,-407
63350,195,51,-398
63400,195,51,-398
63450,250,42,-383
63500,293,25,-363
63550,350,-10,-335
63600,350,-10,-335
