# purpose,gyroscope bias and Allan deviation
# sample_hz,50
# duration_s,1800
# sda_gpio,21
# scl_gpio,22
# i2c_freq,400000
# gyro_full_scale,+-250 dps
# accel_full_scale,+-2 g
# dlpf_cfg,3
# wifi,off
# note,keep the board completely still
t_ms,ax_g,ay_g,az_g,temp_c,gx_dps,gy_dps,gz_dps
6160,-0.035645,0.013428,1.028076,42.801,0.129771,1.068702,-0.114504
6180,-0.030518,0.012451,1.026855,42.795,0.160305,0.946565,-0.083969
6200,-0.034668,0.013672,1.026367,42.809,0.137405,1.007634,-0.114504
6220,-0.035889,0.011963,1.023682,42.830,0.229008,0.977099,-0.106870
6240,-0.036377,0.017578,1.025146,42.806,0.198473,0.954198,-0.114504
6260,-0.031250,0.013184,1.024658,42.780,0.152672,1.045802,-0.160305
6280,-0.035645,0.014404,1.026367,42.806,0.236641,0.977099,-0.061069
6300,-0.034424,0.012939,1.022705,42.806,0.244275,0.809160,-0.129771
6320,-0.037109,0.011475,1.032959,42.821,0.152672,1.114504,-0.099237
6340,-0.032959,0.014648,1.016357,42.792,0.213740,0.954198,-0.145038
6360,-0.037842,0.010498,1.030029,42.815,0.190840,1.022901,-0.198473
6380,-0.034912,0.014648,1.017334,42.806,0.137405,0.877863,-0.015267
6400,-0.037354,0.015869,1.023193,42.824,0.274809,1.030534,-0.167939
6420,-0.034424,0.011963,1.022217,42.795,0.198473,0.885496,-0.137405
6440,-0.036865,0.014648,1.024170,42.812,0.244275,0.938931,-0.106870
6461,-0.034180,0.012207,1.027832,42.827,0.175573,0.946565,-0.152672
6481,-0.035889,0.013428,1.029297,42.821,0.244275,0.954198,-0.099237
6500,-0.032959,0.013184,1.020020,42.801,0.190840,0.938931,-0.099237
6520,-0.033936,0.015381,1.027588,42.795,0.167939,0.900763,-0.106870
6540,-0.038574,0.012451,1.026367,42.833,0.236641,1.007634,-0.160305
6560,-0.034668,0.008545,1.026367,42.827,0.190840,0.938931,-0.068702
6580,-0.035156,0.011230,1.025146,42.815,0.251908,1.038168,-0.152672
6600,-0.030762,0.016357,1.022461,42.827,0.190840,1.022901,-0.213740
6620,-0.031982,0.014648,1.020508,42.801,0.183206,1.038168,-0.175573
6640,-0.035156,0.015137,1.024414,42.806,0.183206,0.938931,-0.099237
6660,-0.037842,0.010742,1.027344,42.809,0.198473,0.908397,0.007634
